country,time,rotac_vacc
afg,2018,45
afg,2019,58
afg,2020,62
ago,2014,18
ago,2015,40
ago,2016,44
ago,2017,43
ago,2018,48
ago,2019,58
ago,2020,39
arg,2015,61
arg,2016,75
arg,2017,78
arg,2018,80
arg,2019,77
arg,2020,72
arm,2013,33
arm,2014,91
arm,2015,93
arm,2016,94
arm,2017,94
arm,2018,93
arm,2019,92
aus,2008,81
aus,2009,82
aus,2010,84
aus,2011,85
aus,2012,84
aus,2013,84
aus,2014,84
aus,2015,85
aus,2016,87
aus,2017,87
aus,2018,87
aus,2019,87
aus,2020,87
aut,2008,47
aut,2009,61
aut,2010,61
aut,2011,61
aut,2012,61
aut,2013,61
aut,2014,61
aut,2015,61
aut,2016,61
aut,2017,61
aut,2018,61
aut,2019,61
aut,2020,61
bdi,2014,84
bdi,2015,96
bdi,2016,96
bdi,2017,93
bdi,2018,92
bdi,2019,95
bdi,2020,96
bel,2012,86
bel,2013,86
bel,2014,86
bel,2015,88
bel,2016,87
bel,2017,87
bel,2018,87
bel,2019,87
ben,2020,62
bfa,2013,9
bfa,2014,91
bfa,2015,91
bfa,2016,91
bfa,2017,91
bfa,2018,91
bfa,2019,91
bfa,2020,91
bgr,2018,31
bgr,2019,39
bgr,2020,45
bhr,2008,49
bhr,2009,90
bhr,2010,59
bhr,2011,96
bhr,2012,96
bhr,2013,97
bhr,2014,97
bhr,2015,97
bhr,2016,98
bhr,2017,97
bhr,2018,98
bhr,2019,99
bhr,2020,98
bhs,2016,11
bhs,2017,90
bhs,2018,70
bhs,2019,78
bol,2008,51
bol,2009,76
bol,2010,87
bol,2011,91
bol,2012,91
bol,2013,85
bol,2014,85
bol,2015,89
bol,2016,87
bol,2017,84
bol,2018,87
bol,2019,78
bol,2020,74
bra,2006,47
bra,2007,80
bra,2008,81
bra,2009,86
bra,2010,83
bra,2011,87
bra,2012,86
bra,2013,93
bra,2014,92
bra,2015,94
bra,2016,88
bra,2017,70
bra,2018,80
bra,2019,83
bra,2020,76
bwa,2012,74
bwa,2013,85
bwa,2014,95
bwa,2015,92
bwa,2016,88
bwa,2017,85
bwa,2018,87
bwa,2019,86
bwa,2020,85
can,2017,79
can,2018,79
can,2019,84
can,2020,84
civ,2017,40
civ,2018,59
civ,2019,70
civ,2020,77
cmr,2014,34
cmr,2015,61
cmr,2016,68
cmr,2017,70
cmr,2018,65
cmr,2019,65
cmr,2020,67
cod,2020,33
cog,2014,60
cog,2015,80
cog,2016,64
cog,2017,64
cog,2018,72
cog,2019,71
cog,2020,60
col,2009,55
col,2010,74
col,2011,78
col,2012,87
col,2013,87
col,2014,89
col,2015,91
col,2016,90
col,2017,90
col,2018,90
col,2019,92
col,2020,87
cri,2019,59
cri,2020,95
deu,2014,67
deu,2015,68
deu,2016,68
deu,2017,68
deu,2018,67
deu,2019,65
dji,2015,86
dji,2016,72
dji,2017,80
dji,2018,87
dji,2019,88
dji,2020,72
dom,2012,9
dom,2013,69
dom,2014,86
dom,2015,83
dom,2016,75
dom,2017,82
dom,2018,82
dom,2019,80
dom,2020,77
ecu,2008,82
ecu,2009,97
ecu,2010,94
ecu,2011,90
ecu,2012,87
ecu,2013,83
ecu,2014,81
ecu,2015,78
ecu,2016,80
ecu,2017,84
ecu,2018,85
ecu,2019,85
ecu,2020,75
eri,2014,25
eri,2015,96
eri,2016,96
eri,2017,96
eri,2018,96
eri,2019,96
eri,2020,96
