concept,concept_type,source_url,version,updated,name_short,name,description,unit,tags,domain,scales,indicator_url,color,drill_up
gini,measure,http://gapm.io/ddgini,v3,2018-12-05,Gini,Gini coefficient,Gini shows income inequality in a society. A higher number means more inequality.,Coefficient,inequality,,,,,
journakilled,measure,http://gapm.io/djournalists_silenced,v1,2019-01-22,Journalists killed,Number of journalists killed,Number of  journalists killed in given year.,People,media,,,,,
rgov_idea,measure,http://gapm.io/ddemocrix_idea,v2,2019-10-23,Representative Government Index (IDEA),Representative Government Index (IDEA),"The representative government attribute emphasizes contested and inclusive popular elections for legislative and executive offices. This attribute distinguishes among four subattributes. Three of them (clean elections, free political parties and elected government) have been aggregated into a contestation index using Bayesian factor analysis (BFA). The representative government index is obtained by multiplying the contestation index by the fourth subattribute, inclusive suffrage.",Percent,democracy_idea,,,,,
celec_idea,measure,http://gapm.io/ddemocrix_idea,v2,2019-10-23,Clean Elections Index (IDEA),Clean Elections Index (IDEA),"The clean elections subattribute denotes the extent to which elections for national, representative political office are free from irregularities. All of the selected indicators tap into the quality of elections.The six indicators that  have been aggregated into the clean elections subattribute using BFA are: i. EMB autonomy,  ii.EMB capacity,iii.Election other voting irregularities, iv.Election government intimidation,v.Election free and fair and vi.Competition                                                                                                                                                                                                                                                                                        ",Percent,more_dem_idea,,,,,
isuffrage_idea,measure,http://gapm.io/ddemocrix_idea,v2,2019-10-23,Inclusive Suffrage Index  (IDEA),Inclusive Suffrage Index (IDEA),The inclusive suffrage subattribute denotes the extent to which adult citizens have equal and universal passive and active voting rights.This is a weighted average of the two indicators inclusive suffrage and election voter registry  with suffrage counting twice as much as voter registration.,Percent,more_dem_idea,,,,,
fppart_idea,measure,http://gapm.io/ddemocrix_idea,v2,2019-10-23,Free Political Parties Index (IDEA),Free Political Parties Index (IDEA),"The free political parties subattribute denotes the extent to which political parties are free to form and campaign for political office. Six indicators, partly based on expert surveys and partly in-house coded, are used to measure how free political parties are. All of them reflect whether political parties generally, and opposition parties in particular, are allowed to organize freely and run in elections. The six indicators have been aggregated into the free political parties subattribute using item response theory (IRT).Tjose indicators are: i).Party ban, ii) 2.Barriers to parties, iii)Opposition parties’ autonomy, iv)Elections multiparty, v)Competitiveness of participation and vi)Multiparty elections.",Percent,more_dem_idea,,,,,
elgov_idea,measure,http://gapm.io/ddemocrix_idea,v2,2019-10-23,Elected Government Index (IDEA),Elected Government Index (IDEA),"The elected government subattribute denotes the extent to which national, representative government offices are filled through elections. It is operationalized using four indicators from V-Dem, BBRD and Polity. All the indicators have a rather formal focus, which means that they do not assess the quality of elections or fully capture the extent to which reserved domains and undue influence from non-elected groups might in practicerestrict elected officials’ effective power to govern. The four indicators that were aggregated into the electedgovernment subattribute using IRT are: i).Elected executive index, ii)Competitiveness of executive recruitment, iii) Openness of executive recruitment iv)Electoral",Percent,more_dem_idea,,,,,
fundright_idea,measure,http://gapm.io/ddemocrix_idea,v2,2019-10-23,Fundamental Rights Index (IDEA),Fundamental Rights Index (IDEA),"Fundamental Rights captures the degree to which civil liberties are respected, and whether people have access to basic resources that enable their active participation in the political process. This aspect overlaps significantly with the international covenants on civil and political, and economic, social and cultural rights. It includes three subattributes: Access to Justice, Civil Liberties, and Social Rights and Equality This attribute is composed of three subattributes: access to justice, civil liberties, and social rights and equality. The three subattributes were aggregated into the Fundamental Rights index using BFA.",Percent,democracy_idea,,,,,
ajustice_idea,measure,http://gapm.io/ddemocrix_idea,v2,2019-10-23,Access to justice Index (IDEA),Access to justice Index (IDEA),"The access to justice subattribute denotes the extent to which the legal system is fair (i.e., citizens are not subject to arbitrary arrest or detention and have the right to be under the jurisdiction of, and to seek redress from, competent, independent and impartial tribunals without undue delay). It comprises four expert coded variables (V-Dem) that go beyond the independence of courts and an in-house coded CLD measure of the right to a fair trial. The five indicators  ( i.e access to justice for men,access to justice for women,judicial corruption decision, judicial accountability and fair trial) were aggregated into the access to justice subattribute using BFA.",Percent,more_dem_idea,,,,,
cliberties_idea,measure,http://gapm.io/ddemocrix_idea,v2,2019-10-23,Civil liberties Index (IDEA),Civil liberties Index (IDEA),"The civil liberties subattribute denotes the extent to which civil rights and liberties are respected. The five civil liberties sub-components are freedom of expression, freedom of association and assembly, freedom of religion, freedom of movement, and personal integrity and security, each of which reflects core concepts in the human rights literature. The five sub-components were aggregated into the civil liberties subattribute using BFA.",Percent,more_dem_idea,,,,,
