country,time,six_vacc_rate
afg,2009,60
afg,2010,62
afg,2011,64
afg,2012,59
afg,2013,57
afg,2014,60
afg,2015,62
afg,2016,64
afg,2017,66
afg,2018,71
afg,2019,64
afg,2020,66
ago,2007,43
ago,2008,36
ago,2009,36
ago,2010,49
ago,2011,50
ago,2012,52
ago,2013,48
ago,2014,55
ago,2015,51
ago,2016,40
ago,2017,42
ago,2018,50
ago,2019,51
ago,2020,44
alb,2009,97
alb,2010,99
alb,2011,97
alb,2012,96
alb,2013,99
alb,2014,98
alb,2015,97
alb,2016,96
alb,2017,96
alb,2018,94
alb,2019,95
are,1999,92
arg,2002,66
arg,2003,73
arg,2004,81
arg,2005,88
arg,2006,84
arg,2007,85
arg,2008,90
arg,2009,94
arg,2010,94
arg,2011,91
arg,2012,90
arg,2013,90
arg,2014,92
arg,2015,89
arg,2016,87
arg,2017,84
arg,2018,84
arg,2019,83
arg,2020,74
arm,2010,48
arm,2011,95
arm,2012,95
arm,2013,95
arm,2014,93
arm,2015,94
arm,2016,94
arm,2017,94
arm,2018,92
arm,2019,92
aze,2011,36
aze,2012,88
aze,2013,93
aze,2014,94
aze,2015,96
aze,2016,97
aze,2017,95
aze,2018,95
aze,2019,94
aze,2020,79
bdi,2004,76
bdi,2005,82
bdi,2006,88
bdi,2007,88
bdi,2008,84
bdi,2009,91
bdi,2010,92
bdi,2011,90
bdi,2012,93
bdi,2013,95
bdi,2014,92
bdi,2015,93
bdi,2016,93
bdi,2017,90
bdi,2018,88
bdi,2019,92
bdi,2020,83
ben,2005,35
ben,2006,66
ben,2007,70
ben,2008,66
ben,2009,71
ben,2010,68
ben,2011,70
ben,2012,74
ben,2013,68
ben,2014,65
ben,2015,67
ben,2016,68
ben,2017,68
ben,2018,68
ben,2019,68
ben,2020,65
bfa,2006,76
bfa,2007,89
bfa,2008,92
bfa,2009,91
bfa,2010,90
bfa,2011,89
bfa,2012,87
bfa,2013,82
bfa,2014,88
bfa,2015,88
bfa,2016,88
bfa,2017,88
bfa,2018,88
bfa,2019,88
bfa,2020,88
bgd,2009,93
bgd,2010,88
bgd,2011,87
bgd,2012,88
bgd,2013,91
bgd,2014,94
bgd,2015,97
bgd,2016,97
bgd,2017,97
bgd,2018,97
bgd,2019,97
bgd,2020,97
bgr,2010,91
bgr,2011,95
bgr,2012,94
bgr,2013,95
bgr,2014,83
bgr,2015,87
bgr,2016,91
bgr,2017,92
bgr,2018,85
bgr,2019,92
bgr,2020,88
bih,2004,36
bih,2005,50
bih,2006,82
bih,2007,83
bih,2008,83
bih,2009,80
bih,2010,83
bih,2011,85
bih,2012,87
bih,2013,83
bih,2014,79
bih,2015,74
bih,2016,68
bih,2017,68
bih,2018,62
bih,2019,62
blr,2008,6
blr,2009,19
blr,2010,0
blr,2011,21
blr,2012,22
blr,2013,23
blr,2014,20
blr,2015,9
blr,2016,11
blr,2017,9
blr,2018,67
blr,2019,91
blr,2020,97
blz,2001,94
blz,2002,88
blz,2003,95
blz,2004,97
blz,2005,95
blz,2006,97
blz,2007,96
blz,2008,94
blz,2009,97
blz,2010,96
blz,2011,95
blz,2012,96
blz,2013,95
blz,2014,95
blz,2015,94
blz,2016,94
blz,2017,88
blz,2018,96
blz,2019,95
blz,2020,76
bol,2000,74
bol,2001,71
bol,2002,76
bol,2003,80
bol,2004,84
bol,2005,84
bol,2006,82
bol,2007,84
bol,2008,87
bol,2009,92
bol,2010,88
bol,2011,95
bol,2012,92
bol,2013,87
bol,2014,85
bol,2015,88
bol,2016,87
bol,2017,83
bol,2018,83
bol,2019,75
bol,2020,68
bra,2000,90
bra,2001,91
bra,2002,92
bra,2003,94
bra,2004,95
bra,2005,96
bra,2006,97
bra,2007,98
bra,2008,96
bra,2009,99
bra,2010,96
bra,2011,98
bra,2012,95
bra,2013,96
bra,2014,93
bra,2015,96
bra,2016,72
bra,2017,75
bra,2018,83
bra,2019,70
bra,2020,67
brn,2002,94
brn,2003,92
brn,2004,92
brn,2005,93
brn,2006,94
brn,2007,95
brn,2008,96
brn,2009,96
brn,2010,94
brn,2011,91
brn,2012,92
brn,2013,96
brn,2014,96
brn,2015,96
brn,2016,98
brn,2017,97
brn,2018,99
brn,2019,97
brn,2020,99
btn,2012,95
btn,2013,94
btn,2014,97
btn,2015,97
btn,2016,97
btn,2017,97
btn,2018,97
btn,2019,92
btn,2020,93
bwa,2011,95
bwa,2012,95
bwa,2013,95
bwa,2014,95
bwa,2015,95
bwa,2016,95
bwa,2017,95
bwa,2018,95
bwa,2019,95
bwa,2020,87
caf,2009,42
caf,2010,45
caf,2011,47
caf,2012,47
caf,2013,23
caf,2014,45
caf,2015,43
caf,2016,42
caf,2017,41
caf,2018,41
caf,2019,41
caf,2020,41
chl,2006,91
chl,2007,92
chl,2008,95
chl,2009,93
chl,2010,92
chl,2011,91
chl,2012,90
chl,2013,90
chl,2014,95
chl,2015,93
chl,2016,93
chl,2017,93
chl,2018,93
chl,2019,95
chl,2020,91
civ,2009,67
civ,2010,64
civ,2011,49
civ,2012,74
civ,2013,69
civ,2014,59
civ,2015,67
civ,2016,73
civ,2017,70
civ,2018,76
civ,2019,76
civ,2020,70
cmr,2009,74
cmr,2010,79
cmr,2011,76
cmr,2012,81
cmr,2013,82
cmr,2014,78
cmr,2015,74
cmr,2016,71
cmr,2017,65
cmr,2018,59
cmr,2019,60
cmr,2020,62
cod,2009,72
cod,2010,60
cod,2011,66
cod,2012,72
cod,2013,66
cod,2014,67
cod,2015,63
cod,2016,57
cod,2017,57
cod,2018,57
cod,2019,57
cod,2020,57
cog,2009,63
cog,2010,72
cog,2011,70
cog,2012,62
cog,2013,80
cog,2014,80
cog,2015,80
cog,2016,67
cog,2017,69
cog,2018,75
cog,2019,73
cog,2020,68
col,1998,62
col,1999,64
col,2000,65
col,2001,55
col,2002,69
col,2003,92
col,2004,89
col,2005,93
col,2006,93
col,2007,93
col,2008,92
col,2009,89
col,2010,84
col,2011,83
col,2012,89
col,2013,85
col,2014,89
col,2015,90
col,2016,88
col,2017,91
col,2018,89
col,2019,90
col,2020,88
com,2009,38
com,2010,72
com,2011,78
com,2012,79
com,2013,85
com,2014,86
com,2015,90
com,2016,90
com,2017,90
com,2018,90
com,2019,88
com,2020,81
cpv,2011,90
cpv,2012,91
cpv,2013,91
cpv,2014,93
cpv,2015,92
cpv,2016,93
cpv,2017,96
cpv,2018,96
cpv,2019,96
cpv,2020,93
cri,1998,26
cri,1999,68
cri,2000,80
cri,2001,80
cri,2002,93
cri,2003,86
cri,2004,88
cri,2005,89
cri,2006,88
cri,2007,88
cri,2008,87
cri,2009,80
cri,2010,83
cri,2011,81
cri,2012,90
cri,2013,91
cri,2014,91
cri,2015,92
cri,2016,93
cri,2017,96
cri,2018,94
cri,2019,94
cri,2020,94
cub,1999,95
cub,2000,94
cub,2001,96
cub,2002,98
cub,2003,72
cub,2004,88
cub,2005,89
cub,2006,89
cub,2007,93
cub,2008,95
cub,2009,96
cub,2010,96
cub,2011,96
cub,2012,96
cub,2013,96
cub,2014,97
cub,2015,99
cub,2016,98
cub,2017,98
cub,2018,99
cub,2019,99
cub,2020,98
cze,2002,86
cze,2003,92
cze,2004,96
cze,2005,96
cze,2006,97
cze,2007,98
cze,2008,97
cze,2009,98
dji,2007,25
dji,2008,73
dji,2009,84
dji,2010,85
dji,2011,84
dji,2012,81
dji,2013,80
dji,2014,71
dji,2015,74
dji,2016,68
dji,2017,76
dji,2018,84
dji,2019,83
dji,2020,62
dma,2006,7
dma,2007,90
dma,2008,95
dma,2009,99
dma,2010,98
dma,2011,98
dma,2012,97
dma,2013,93
dma,2014,94
dma,2015,96
dma,2016,96
dma,2017,77
dma,2018,84
dma,2019,92
dma,2020,92
dom,2001,20
dom,2002,43
dom,2003,65
dom,2004,66
dom,2005,79
dom,2006,80
dom,2007,70
dom,2008,79
dom,2009,77
dom,2010,81
dom,2011,71
dom,2012,70
dom,2013,75
dom,2014,87
dom,2015,76
dom,2016,73
dom,2017,77
dom,2018,89
dom,2019,79
dom,2020,80
dza,2008,88
dza,2009,92
dza,2010,95
dza,2011,95
dza,2012,95
dza,2013,95
dza,2014,95
dza,2015,95
dza,2016,91
dza,2017,88
dza,2018,80
dza,2019,80
ecu,2003,54
ecu,2004,86
ecu,2005,89
ecu,2006,92
ecu,2007,94
ecu,2008,93
ecu,2009,91
ecu,2010,88
ecu,2011,85
ecu,2012,85
ecu,2013,87
ecu,2014,83
ecu,2015,78
ecu,2016,79
ecu,2017,81
ecu,2018,83
ecu,2019,83
ecu,2020,70
egy,2014,93
egy,2015,92
egy,2016,95
egy,2017,86
egy,2018,94
egy,2019,95
egy,2020,94
eri,2008,91
eri,2009,93
eri,2010,95
eri,2011,94
eri,2012,94
eri,2013,94
eri,2014,90
eri,2015,95
eri,2016,95
eri,2017,93
eri,2018,93
eri,2019,93
eri,2020,93
est,2004,27
est,2005,37
est,2006,88
est,2007,95
est,2008,94
est,2009,95
est,2010,94
est,2011,93
est,2012,94
est,2013,93
est,2014,93
est,2015,91
est,2016,93
est,2017,92
est,2018,87
est,2019,88
est,2020,90
eth,2007,47
eth,2008,52
eth,2009,56
eth,2010,61
eth,2011,65
eth,2012,62
eth,2013,55
eth,2014,54
eth,2015,56
eth,2016,57
eth,2017,59
eth,2018,55
eth,2019,58
eth,2020,60
fji,1997,75
fji,1998,77
fji,1999,79
fji,2000,81
fji,2001,83
fji,2002,85
fji,2003,86
fji,2004,88
fji,2005,90
fji,2006,92
fji,2007,94
fji,2008,95
fji,2009,95
fji,2010,96
fji,2011,96
fji,2012,96
fji,2013,96
fji,2014,96
fji,2015,96
fji,2016,96
fji,2017,96
fji,2018,96
fji,2019,96
fra,1998,27
fra,1999,24
fra,2000,26
fra,2001,28
fra,2002,29
fra,2003,28
fra,2004,35
fra,2005,35
fra,2006,39
fra,2007,42
fsm,1999,39
fsm,2000,24
fsm,2001,39
fsm,2002,52
