global,time,ndisasd_tot
world,1900,1267500
world,1901,200018
world,1902,48438
world,1903,7136
world,1904,152
world,1905,20946
world,1906,33657
world,1907,1313241
world,1908,75033
world,1909,1511856
world,1910,148993
world,1911,103705
world,1912,52093
world,1913,1962
world,1914,4408
world,1915,32337
world,1916,481
world,1917,2523561
world,1918,460950
world,1919,5500
world,1920,3206872
world,1921,1200000
world,1922,101175
world,1923,254286
world,1924,303279
world,1925,6972
world,1926,427852
world,1927,53270
world,1928,3004895
world,1929,8330
world,1930,11092
world,1931,3719108
world,1932,4917
world,1933,31442
world,1934,5711
world,1935,274119
world,1936,5886
world,1937,12450
world,1938,2208
world,1939,563205
world,1940,23150
world,1941,12730
world,1942,1604426
world,1943,1912974
world,1944,16172
world,1945,11358
world,1946,35563
world,1947,17650
world,1948,120828
world,1949,123774
world,1950,6845
world,1951,18227
world,1952,6886
world,1953,12997
world,1954,41847
world,1955,5556
world,1956,7737
world,1957,10603
world,1958,3950
world,1959,2013242
world,1960,39188
world,1961,17341
world,1962,17370
world,1963,37746
world,1964,12892
world,1965,1565517
world,1966,17181
world,1967,10103
world,1968,21461
world,1969,11687
world,1970,387507
world,1971,18086
world,1972,20045
world,1973,110555
world,1974,87504
world,1975,34858
world,1976,280469
world,1977,22406
world,1978,38096
world,1979,7341
world,1980,23002
world,1981,119470
world,1982,13936
world,1983,461561
world,1984,15673
world,1985,60231
world,1986,10349
world,1987,21524
world,1988,57454
world,1989,12602
world,1990,53133
world,1991,189707
world,1992,18913
world,1993,21821
world,1994,15590
world,1995,27166
world,1996,31595
world,1997,30124
world,1998,62672
world,1999,76886
world,2000,16660
world,2001,39493
world,2002,21342
world,2003,113558
world,2004,244772
world,2005,93566
world,2006,29893
world,2007,22422
world,2008,242236
world,2009,16037
world,2010,329900
world,2011,34143
world,2012,11619
world,2013,22225
world,2014,20869
world,2015,24322
world,2016,10706
world,2017,11843
world,2018,14966
world,2019,23947
