country,time,pol3_vacc
afg,1981,3
afg,1982,5
afg,1983,5
afg,1984,16
afg,1985,15
afg,1986,11
afg,1987,25
afg,1988,35
afg,1989,33
afg,1990,25
afg,1991,23
afg,1992,21
afg,1993,18
afg,1994,8
afg,1995,20
afg,1996,31
afg,1997,28
afg,1998,28
afg,1999,27
afg,2000,24
afg,2001,35
afg,2002,36
afg,2003,41
afg,2004,50
afg,2005,58
afg,2006,58
afg,2007,63
afg,2008,64
afg,2009,63
afg,2010,66
afg,2011,68
afg,2012,67
afg,2013,64
afg,2014,63
afg,2015,65
afg,2016,66
afg,2017,64
afg,2018,67
afg,2019,63
afg,2020,61
afg,2021,55
afg,2022,60
afg,2023,59
afg,2024,59
ago,1985,13
ago,1986,15
ago,1987,16
ago,1988,13
ago,1989,19
ago,1990,23
ago,1991,26
ago,1992,21
ago,1993,28
ago,1994,28
ago,1995,28
ago,1996,33
ago,1997,38
ago,1998,43
ago,1999,32
ago,2000,21
ago,2001,28
ago,2002,22
ago,2003,21
ago,2004,18
ago,2005,14
ago,2006,8
ago,2007,43
ago,2008,44
ago,2009,44
ago,2010,45
ago,2011,45
ago,2012,47
ago,2013,46
ago,2014,55
ago,2015,57
ago,2016,56
ago,2017,52
ago,2018,64
ago,2019,61
ago,2020,59
ago,2021,53
ago,2022,54
ago,2023,73
ago,2024,56
alb,1980,92
alb,1981,92
alb,1982,92
alb,1983,92
alb,1984,92
alb,1985,94
alb,1986,94
alb,1987,94
alb,1988,96
alb,1989,96
alb,1990,89
alb,1991,82
alb,1992,97
alb,1993,98
alb,1994,98
alb,1995,98
alb,1996,99
alb,1997,99
alb,1998,97
alb,1999,97
alb,2000,97
alb,2001,97
alb,2002,98
alb,2003,97
alb,2004,98
alb,2005,97
alb,2006,97
alb,2007,99
alb,2008,99
alb,2009,98
alb,2010,99
alb,2011,99
alb,2012,99
alb,2013,99
alb,2014,98
alb,2015,99
alb,2016,98
alb,2017,99
alb,2018,99
alb,2019,99
alb,2020,98
alb,2021,98
alb,2022,98
alb,2023,97
alb,2024,97
are,1980,11
are,1981,45
are,1982,46
are,1983,50
are,1984,59
are,1985,74
are,1986,77
are,1987,80
are,1988,82
are,1989,85
are,1990,85
are,1991,85
are,1992,86
are,1993,90
are,1994,90
are,1995,90
are,1996,90
are,1997,92
are,1998,94
are,1999,94
are,2000,94
are,2001,94
are,2002,94
are,2003,94
are,2004,94
are,2005,94
are,2006,94
are,2007,94
are,2008,94
are,2009,94
are,2010,94
are,2011,95
are,2012,96
are,2013,98
are,2014,99
are,2015,99
are,2016,99
are,2017,96
are,2018,99
are,2019,95
are,2020,80
are,2021,96
are,2022,95
are,2023,96
are,2024,95
arg,1980,33
arg,1981,40
arg,1982,48
arg,1983,79
arg,1984,72
arg,1985,73
arg,1986,79
arg,1987,85
arg,1988,90
arg,1989,86
arg,1990,90
arg,1991,86
arg,1992,85
arg,1993,82
arg,1994,85
arg,1995,90
arg,1996,90
arg,1997,92
arg,1998,90
arg,1999,91
arg,2000,88
arg,2001,85
arg,2002,94
arg,2003,95
arg,2004,91
arg,2005,95
arg,2006,92
arg,2007,92
arg,2008,94
arg,2009,97
arg,2010,95
arg,2011,93
arg,2012,90
arg,2013,90
arg,2014,92
arg,2015,93
arg,2016,87
arg,2017,85
arg,2018,84
arg,2019,83
arg,2020,74
arg,2021,79
arg,2022,84
arg,2023,71
arg,2024,74
arm,1992,92
arm,1993,92
arm,1994,92
arm,1995,93
arm,1996,97
arm,1997,95
arm,1998,96
arm,1999,97
arm,2000,96
arm,2001,97
arm,2002,96
arm,2003,96
arm,2004,93
arm,2005,92
arm,2006,87
arm,2007,90
arm,2008,91
arm,2009,94
arm,2010,96
arm,2011,96
arm,2012,96
arm,2013,96
arm,2014,95
arm,2015,96
arm,2016,96
arm,2017,96
arm,2018,92
arm,2019,94
arm,2020,86
arm,2021,93
